artist;song;duration_ms;year;tempo;genre;energy;key;loudness
The Pussycat Dolls;Don't Cha;272080;2005;120.003;pop, R&B;0.631;1;-3.475
Blu Cantrell;Hit 'Em Up Style (Oops!);250706;2001;89.976;pop, R&B;0.773;5;-4.983
Enrique Iglesias;DUELE EL CORAZON (feat. Wisin);199693;2016;91.03;pop, latin;0.908;8;-3.254
JAY-Z;Dirt Off Your Shoulder;245173;2003;163.971;hip hop;0.655;1;-7.147
Bad Bunny;MIA (feat. Drake);210367;2018;97.062;latin;0.539;6;-6.349
Shakira;Whenever, Wherever;196160;2001;107.657;pop, latin;0.832;1;-4.862
T-Pain;Can't Believe It (feat. Lil' Wayne);273826;2008;89.828;hip hop, pop, R&B;0.516;10;-8.869
David Guetta;Bad (feat. Vassy) - Radio Edit;170625;2014;127.966;hip hop, pop, Dance/Electronic;0.972;5;-3.927
Maroon 5;Maps;189840;2014;120.003;pop;0.723;1;-5.51
Ricky Martin;She Bangs - English Version;280626;2000;143.866;pop, latin;0.95;1;-4.012
Bow Wow;Let Me Hold You (feat. Omarion);248493;2005;151.518;hip hop, pop, R&B;0.662;6;-8.244
Miley Cyrus;See You Again;190453;2007;138.975;pop;0.911;9;-5.098
U2;Sometimes You Can't Make It On Your Own;305080;2004;96.0;World/Traditional, rock;0.597;2;-5.652
Eric Prydz;Call on Me - Radio Mix;171360;2004;126.342;pop, Dance/Electronic;0.837;10;-6.518
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
P!nk;There You Go;202800;2000;107.908;pop;0.847;10;-6.729
Dizzee Rascal;Bonkers;177573;2011;126.127;hip hop, pop, Dance/Electronic;0.977;11;-3.34
Sia;Cheap Thrills (feat. Sean Paul);224813;2016;89.972;pop;0.8;6;-4.931
My Chemical Romance;Welcome to the Black Parade;311106;2006;96.95;rock;0.905;2;-4.103
Craig David;7 Days;235133;2000;83.014;hip hop, pop, R&B;0.812;4;-7.499
Deorro;Five More Hours;211975;2015;127.961;pop, Dance/Electronic;0.883;5;-3.226
Faith Hill;Breathe;250546;1999;136.859;pop, country;0.496;7;-9.007
D12;Purple Pills;304506;2001;125.25;hip hop, pop, rock;0.634;1;-5.941
Ellie Goulding;On My Mind;213445;2015;154.943;pop, rock, Dance/Electronic;0.688;2;-6.607
Taio Cruz;Dynamite;202613;2010;119.975;hip hop, pop;0.783;4;-3.724
Dido;Thank You;218360;1999;79.984;pop;0.583;1;-9.942
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);243490;2016;169.021;hip hop, pop;0.786;9;-4.378
